J’,Par,N’,J’’,Par’’,N’’,Frequency,State’,V’,Lambda’,Sigma’,Omega’,State’’,V’’,Lambda’’,Sigma’’,Omega’’,Weight
17.5,-,18,16.5,+,1,14498.99,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
18.5,+,18,17.5,-,1,14510.64,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
19.5,-,18,18.5,+,1,14522.64,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
20.5,+,18,19.5,-,1,14534.8,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
21.5,-,18,20.5,+,1,14547.29,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
22.5,+,18,21.5,-,1,14559.98,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
23.5,-,18,22.5,+,1,14572.9,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
24.5,+,18,23.5,-,1,14586.03,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
25.5,-,18,24.5,+,1,14599.38,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
26.5,+,18,25.5,-,1,14612.86,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
27.5,-,18,26.5,+,1,14626.48,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
28.5,+,18,27.5,-,1,14640.26,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
29.5,-,18,28.5,+,1,14654.21,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
30.5,+,18,29.5,-,1,14668.26,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,+,18,2.5,-,1,14329.95,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
3.5,+,18,4.5,-,1,14326.66,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
4.5,-,18,5.5,+,1,14323.75,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
5.5,+,18,6.5,-,1,14321.19,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
6.5,-,18,7.5,+,1,14319,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
7.5,+,18,8.5,-,1,14317.28,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
8.5,-,18,9.5,+,1,14315.85,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
9.5,+,18,10.5,-,1,14314.8,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
10.5,-,18,11.5,+,1,14314.25,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
11.5,+,18,12.5,-,1,14313.82,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
12.5,-,18,13.5,+,1,14313.47,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
13.5,+,18,14.5,-,1,14313.82,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
14.5,-,18,15.5,+,1,14314.28,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
15.5,+,18,16.5,-,1,14314.8,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
16.5,-,18,17.5,+,1,14314.8,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
17.5,+,18,18.5,-,1,14315.85,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
