R,c2Sig
3.09,23767.1559347492
3.1,23865.8090929994
3.15,24291.3950608596
3.2,24777.6660336498
3.25,25252.4171534199
3.3,25713.5631853193
3.35,26158.8000546796
3.4,26588.0364160696
3.45,26999.5163728492
3.5,27392.2995861694
3.55,27765.6631167
3.6,28119.2864212496
3.65,28454.0491555296
3.7,28769.6076047793
3.75,29063.1958799092
3.8,29335.0773664201
3.85,29585.8398122797
3.9,29815.3073882498
3.95,29896.0007018894
4,30087.4945796393
4.05,30261.5084855594
4.1,30418.8379170997
4.15,30560.2363588195
4.2,30686.94180502
4.25,30800.2854660396
4.3,30901.2521433495
4.35,30991.2079066001
4.4,31071.3702380201
4.45,31142.9195950292
4.5,31207.0882357201
4.55,31264.9424327193
4.6,31316.9323386596
4.65,31364.9158062795
4.7,31409.2938788198
4.75,31450.90831191
4.8,31490.5532277897
4.85,31528.9079349292
4.9,31566.6217708495
4.95,31604.2583814897
5,31642.2109671896
5.05,31680.3319774196
5.1,31720.8281128695
5.15,31762.2832538299
5.2,31805.5368331298
5.25,31850.7770905392
5.3,31898.0920632696
5.35,31947.5287295599
5.4,31999.0495974198
5.45,32053.0553947594
5.5,32108.2012795592
5.55,32164.95612719
5.6,32222.9176036995
5.65,32281.6722878898
5.7,32340.7954170592
5.75,32399.8582197092
5.8,32458.32846653
5.85,32515.6947677797
5.9,32571.4109650794
5.95,32625.0170871299
6.05,32723.3735884894
6.1,32766.90102797
6.15,32805.8095855499
6.2,32839.5610424699
6.25,32869.3303354699
6.3,32895.5698655695
6.35,32918.8223213293
6.4,32940.2489854395
6.45,32959.80344838
6.55,32993.7251847098
6.6,33008.9568844195
6.65,33022.7020222992
6.7,33035.2664180398
6.75,33046.7811267599
6.8,33057.6283768797
6.85,33067.2881509094
6.9,33076.0846030293
6.95,33084.1629031301
7,33091.6093144501
7.05,33098.3587698396
7.1,33104.6082874499
7.15,33110.3178520398
7.2,33115.5420400398
7.25,33120.3346945494
7.4,33132.3743934995
7.45,33135.8024178995
7.5,33138.9164492497
7.6,33144.3686896395
7.65,33146.7901920695
7.7,33149.0015348997
7.75,33150.9727729
7.8,33152.8293026695
7.85,33154.5366432192
7.9,33155.85905849
7.95,33157.3081717798
