R,x2Sig
2.72,4031.56324129924
2.73,4137.37843257003
2.74,4243.49919363949
2.75,4349.88500988949
2.76,4456.49311131984
2.77,4563.30181834009
2.78,4670.28047819994
2.79,4777.38133658003
2.8,4884.61448507942
2.81,4991.91189148929
2.82,5099.20693367999
2.83,5206.5957845794
2.84,5313.98587552924
2.85,5421.35188324936
2.86,5528.67077964917
2.87,5635.91608755942
2.88,5743.05640077963
2.89,5850.08916260954
2.9,5956.96053084917
2.91,6063.6735038599
2.92,6170.20079591963
2.93,6276.51368150953
2.94,6382.60203060973
2.95,6488.4303290192
2.96,6593.9949910799
2.97,6699.25769513939
2.98,6804.2186187394
2.99,6908.85653044935
3,7013.13015542924
3.01,7117.05327461008
3.02,7220.58704863954
3.03,7323.72376383003
3.04,7426.44806424994
3.05,7528.7435260294
3.06,7630.59191472922
3.07,7731.97990084998
3.08,7832.89926626999
3.09,7933.33425971959
3.1,8033.28220258933
3.15,8523.21560115926
3.2,8994.79226236977
3.25,9448.47842150927
3.3,9882.48806521948
3.35,10294.9206402097
3.4,10684.7390505299
3.45,11050.36613857
3.5,11390.6896427199
3.55,11704.87017891
3.6,11992.3561124792
3.65,12252.7908429001
3.7,12487.3886614796
3.75,12697.7832409395
3.8,12884.6685395595
3.85,13049.3081456693
3.9,13193.3061377192
3.95,13303.5449141394
4,13411.2931262199
4.05,13504.3657033397
4.1,13584.6969524296
4.15,13653.9609272592
4.2,13713.6613047998
4.25,13765.13874349
4.3,13809.5862077493
4.35,13848.0007393295
4.4,13881.2595338998
4.45,13910.1080042394
4.5,13935.2005244698
4.55,13957.0135864392
4.6,13976.1011847192
4.65,13992.8290251894
4.7,14007.5144717498
4.75,14020.4596775696
4.8,14031.8830260392
4.85,14042.0004398795
4.9,14050.9705681298
4.95,14058.97843845
5,14066.1459730594
5.05,14072.4763273597
5.1,14078.2355212197
5.15,14083.3778667897
5.2,14088.0019181995
5.25,14092.1768367793
5.3,14095.9353233697
5.35,14099.3253935594
5.4,14102.38511978
5.45,14105.1532813096
5.5,14107.6631906293
5.55,14109.8957576798
5.6,14111.9046078594
5.65,14113.6837542094
5.7,14115.2545444192
5.75,14116.6306191897
5.8,14117.8099760292
5.85,14118.8058652394
5.9,14119.5980710899
5.95,14120.1585513493
6.05,14120.5830254098
6.1,14120.3747039093
6.15,14119.8572218297
6.2,14119.1232548198
6.25,14118.5197144998
6.3,14117.9660676895
6.35,14117.5637207096
6.4,14117.3896790398
6.45,14117.3086132398
6.55,14117.4142419295
6.6,14117.6917683501
6.65,14117.9520740695
6.7,14118.23237669
6.75,14118.5046696598
6.8,14118.8331974093
6.85,14119.1321263593
6.9,14119.4473484699
6.95,14119.7504804796
7,14120.0260041999
7.05,14120.3124388093
7.1,14120.5607416593
7.15,14120.80688312
7.2,14121.04241376
7.25,14121.2650963692
7.4,14121.8870611992
7.45,14122.0268361997
7.5,14122.1765842298
7.6,14122.4857996199
7.65,14122.6111961799
7.7,14122.73689635
7.75,14122.8988381792
7.8,14123.0021591093
7.85,14123.1120176697
7.9,14123.23021462
7.95,14123.3313470194
